title_raw,title_norm,count,suggested_action,suggested_target,notes
S’ADAPTE AUX NOUVELLES SITUATIONS,S’ADAPTE AUX NOUVELLES SITUATIONS,3,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=3), analyser manuellement"
ANALYSE DES PROBLEMES,ANALYSE DES PROBLEMES,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
LIMITATIONS MEDICALES,LIMITATIONS MEDICALES,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
DROIT & JUSTICE,DROIT & JUSTICE,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
LOGISTIQUE ET TRANSPORT,LOGISTIQUE ET TRANSPORT,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
ARRIVEZ-VOUS A RESPECTER LES HORAIRES,ARRIVEZ-VOUS A RESPECTER LES HORAIRES,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
SON CAHIER DES CHARGES EST LE SUIVANT,SON CAHIER DES CHARGES EST LE SUIVANT,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
ARTISANAT & ARTS PLASTIQUES,ARTISANAT & ARTS PLASTIQUES,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
- RETOUR EVOLUTION,- RETOUR EVOLUTION,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
STAGES LAI15 & LAI 17,STAGES LAI15 & LAI 17,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
CORRESPONDANCE RIASEC,CORRESPONDANCE RIASEC,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
DOSSIER & PRESENTATION,DOSSIER & PRESENTATION,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
POSITIONNEMENT DE NIVEAU - WORD,POSITIONNEMENT DE NIVEAU - WORD,2,MAP_TO_TESTS,tests,Keywords tests détectés (count=2)
POSITIONNEMENT DE NIVEAU - EXCEL,POSITIONNEMENT DE NIVEAU - EXCEL,2,MAP_TO_TESTS,tests,Keywords tests détectés (count=2)
"DURANT CE STAGE, IL A EU POUR ACTIVITES","DURANT CE STAGE, IL A EU POUR ACTIVITES",2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
SES TACHES PRINCIPALES ONT ETE LES SUIVANTES,SES TACHES PRINCIPALES ONT ETE LES SUIVANTES,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
CONDITIONS DE SUCCES,CONDITIONS DE SUCCES,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
RAPPORT DE STAGE - DECOUVERTE DE L’HORLOGERIE,RAPPORT DE STAGE - DECOUVERTE DE L’HORLOGERIE,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
DEROULEMENT DE LA DECOUVERTE,DEROULEMENT DE LA DECOUVERTE,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
MOTIVATEURS PRINCIPAUX,MOTIVATEURS PRINCIPAUX,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
REPRESENTATION SPATIALE,REPRESENTATION SPATIALE,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
